"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000059","Dorset","E01033159","North Dorset 006F",1249934895
"E06000059","Dorset","E01033200","Weymouth and Portland 008E",1249934932
"E06000059","Dorset","E01020439","North Dorset 007E",1249922475
"E06000059","Dorset","E01020543","West Dorset 001B",1249922575
"E06000059","Dorset","E01020389","East Dorset 001C",1249922425
"E06000059","Dorset","E01020491","Purbeck 004C",1249922525
"E06000059","Dorset","E01020440","North Dorset 002A",1249922476
"E06000059","Dorset","E01020441","North Dorset 008D",1249922477
"E06000059","Dorset","E01020442","North Dorset 006A",1249922478
"E06000059","Dorset","E01020544","West Dorset 001C",1249922576
"E06000059","Dorset","E01020443","North Dorset 001A",1249922479
"E06000059","Dorset","E01020546","West Dorset 001E",1249922577
"E06000059","Dorset","E01020444","North Dorset 005A",1249922480
"E06000059","Dorset","E01020547","West Dorset 001F",1249922578
"E06000059","Dorset","E01020445","North Dorset 005B",1249922481
"E06000059","Dorset","E01020549","West Dorset 011D",1249922579
"E06000059","Dorset","E01020446","North Dorset 005C",1249922482
"E06000059","Dorset","E01020550","West Dorset 002D",1249922580
"E06000059","Dorset","E01020447","North Dorset 001B",1249922483
"E06000059","Dorset","E01020551","Weymouth and Portland 001A",1249922581
"E06000059","Dorset","E01020448","North Dorset 008E",1249922484
"E06000059","Dorset","E01020552","Weymouth and Portland 001B",1249922582
"E06000059","Dorset","E01020449","North Dorset 004C",1249922485
"E06000059","Dorset","E01020553","Weymouth and Portland 004A",1249922583
"E06000059","Dorset","E01020450","North Dorset 002B",1249922486
"E06000059","Dorset","E01020554","Weymouth and Portland 004B",1249922584
"E06000059","Dorset","E01020452","North Dorset 006B",1249922487
"E06000059","Dorset","E01020555","Weymouth and Portland 004C",1249922585
"E06000059","Dorset","E01020453","North Dorset 006C",1249922488
"E06000059","Dorset","E01020556","Weymouth and Portland 004D",1249922586
"E06000059","Dorset","E01020454","North Dorset 003A",1249922489
"E06000059","Dorset","E01020455","North Dorset 003B",1249922490
"E06000059","Dorset","E01020456","North Dorset 003C",1249922491
"E06000059","Dorset","E01020457","North Dorset 003D",1249922492
"E06000059","Dorset","E01020458","North Dorset 004D",1249922493
"E06000059","Dorset","E01020459","North Dorset 004E",1249922494
"E06000059","Dorset","E01020460","North Dorset 005D",1249922495
"E06000059","Dorset","E01020462","North Dorset 002D",1249922496
"E06000059","Dorset","E01020463","North Dorset 001C",1249922497
"E06000059","Dorset","E01020464","North Dorset 001D",1249922498
"E06000059","Dorset","E01020465","Purbeck 001A",1249922499
"E06000059","Dorset","E01020466","Purbeck 005A",1249922500
"E06000059","Dorset","E01020467","Purbeck 005B",1249922501
"E06000059","Dorset","E01020468","Purbeck 005C",1249922502
"E06000059","Dorset","E01020469","Purbeck 001B",1249922503
"E06000059","Dorset","E01020470","Purbeck 001C",1249922504
"E06000059","Dorset","E01020471","Purbeck 002A",1249922505
"E06000059","Dorset","E01020472","Purbeck 002B",1249922506
"E06000059","Dorset","E01020473","Purbeck 002C",1249922507
"E06000059","Dorset","E01020474","Purbeck 002D",1249922508
"E06000059","Dorset","E01020475","Purbeck 002E",1249922509
"E06000059","Dorset","E01020476","Purbeck 003A",1249922510
"E06000059","Dorset","E01020477","Purbeck 003B",1249922511
"E06000059","Dorset","E01020478","Purbeck 006A",1249922512
"E06000059","Dorset","E01020479","Purbeck 006B",1249922513
"E06000059","Dorset","E01020480","Purbeck 006C",1249922514
"E06000059","Dorset","E01020481","Purbeck 006D",1249922515
"E06000059","Dorset","E01020482","Purbeck 006E",1249922516
"E06000059","Dorset","E01020483","Purbeck 006F",1249922517
"E06000059","Dorset","E01020484","Purbeck 006G",1249922518
"E06000059","Dorset","E01020485","Purbeck 003C",1249922519
"E06000059","Dorset","E01020486","Purbeck 003D",1249922520
"E06000059","Dorset","E01020487","Purbeck 003E",1249922521
"E06000059","Dorset","E01020488","Purbeck 003F",1249922522
"E06000059","Dorset","E01020489","Purbeck 004A",1249922523
"E06000059","Dorset","E01020490","Purbeck 004B",1249922524
"E06000059","Dorset","E01020492","Purbeck 004D",1249922526
"E06000059","Dorset","E01020390","East Dorset 008A",1249922426
"E06000059","Dorset","E01020391","East Dorset 008B",1249922427
"E06000059","Dorset","E01020392","East Dorset 008C",1249922428
"E06000059","Dorset","E01020393","East Dorset 008D",1249922429
"E06000059","Dorset","E01020493","Purbeck 004E",1249922527
"E06000059","Dorset","E01020557","Weymouth and Portland 002A",1249922587
"E06000059","Dorset","E01020394","East Dorset 008E",1249922430
"E06000059","Dorset","E01020494","West Dorset 003A",1249922528
"E06000059","Dorset","E01020558","Weymouth and Portland 002B",1249922588
"E06000059","Dorset","E01020395","East Dorset 011A",1249922431
"E06000059","Dorset","E01020495","West Dorset 003B",1249922529
"E06000059","Dorset","E01020559","Weymouth and Portland 002C",1249922589
"E06000059","Dorset","E01020396","East Dorset 005A",1249922432
"E06000059","Dorset","E01020496","West Dorset 003C",1249922530
"E06000059","Dorset","E01020560","Weymouth and Portland 002D",1249922590
"E06000059","Dorset","E01020397","East Dorset 001D",1249922433
"E06000059","Dorset","E01020497","West Dorset 002A",1249922531
